Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ASML.AS,633.3,2023/11/22,17:35 CET,7.5999756,622.5,637.4,619.5,464199,20220502,531.4,1.0,,,,
ASML.AS,633.3,2023/11/22,17:35 CET,7.5999756,622.5,637.4,619.5,464199,20221227,517.1,1.0,,,,
KER.PA,403.8,2023/11/22,17:35 CET,4.3499756,399.4,404.5,399.4,126483,20221227,481.9,2.0,,,,
PRX.AS,30.28,2023/11/22,17:35 CET,0.16500092,30.14,30.47,30.055,2714789,20220502,45.35,11.0,,,,
PRX.AS,30.28,2023/11/22,17:35 CET,0.16500092,30.14,30.47,30.055,2714789,20221227,64.51,2.0,,,,
SAN.PA,84.92,2023/11/22,17:35 CET,-0.41999817,85.31,85.77,84.92,1015755,20220502,100.26,3.0,,,,
SAN.PA,84.92,2023/11/22,17:35 CET,-0.41999817,85.31,85.77,84.92,1015755,20221227,91.18,7.0,,,,
ALV.DE,231.0,2023/11/22,17:37 CET,0.6499939,231.85,232.35,230.75,627214,20220502,215.55,2.0,,,,
ALV.DE,231.0,2023/11/22,17:37 CET,0.6499939,231.85,232.35,230.75,627214,20221227,203.2,2.0,,,,
IBE.MC,11.095,2023/11/22,17:35 CET,0.055000305,11.08,11.135,11.035,10248526,20220502,11.055,20.0,,,,
IBE.MC,11.095,2023/11/22,17:35 CET,0.055000305,11.08,11.135,11.035,10248526,20221227,10.98,55.0,,,,
AIR.PA,134.0,2023/11/22,17:35 CET,0.2400055,133.88,134.1,132.66,743890,20220502,104.88,4.0,,,,
AIR.PA,134.0,2023/11/22,17:35 CET,0.2400055,133.88,134.1,132.66,743890,20221227,113.14,3.0,,,,
SIE.DE,149.66,2023/11/22,17:42 CET,2.0,147.76,150.1,147.7,1361009,20220502,115.98,2.0,,,,
SIE.DE,149.66,2023/11/22,17:42 CET,2.0,147.76,150.1,147.7,1361009,20221227,129.72,4.0,,,,
MC.PA,712.3,2023/11/22,17:38 CET,8.200012,706.8,714.1,702.9,253674,20220502,610.0,1.0,,,,
ARGX.BR,449.5,2023/11/22,17:35 CET,-0.8999939,450.0,454.3,445.0,38879,20221227,352.9,2.0,,,,
SAP.DE,141.16,2023/11/22,17:36 CET,1.7200012,139.78,142.08,139.72,1901856,20220502,96.77,2.0,,,,
SAP.DE,141.16,2023/11/22,17:36 CET,1.7200012,139.78,142.08,139.72,1901856,,96.5,1.0,,,,
